"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4,X16601,C3,X16602,C2,X16599,C1)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4,X91589417,C3,X91590927,C2,X91588007,C1)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.5,X14834,C1,X14835,C4)}","I am perfectly happy with my standard of living {sumax(X91583243,C4,X91591993,C3,X91592876,C2,X91586625,C1)}","Politics {sumax(X61206,C1,X61209,C2,X61208,C3,X61210,C4,X61207,C5)}"
85001W853WPPV6K,211,41,3,112,3,2,3,3
85001W853XFXBXQ,70,23,2,87,4,4,2,3
85001W853XJYC48,88,44,3,224,4,1,2,3
85001W853YVS8Z6,941,473,2,54,3,4,4,3
85001W853ZAKPEX,134,133,2,112,2,2,3,3
85001W853ZUBVA9,173,87,2,4,3,4,2,1
85001W854178UFJ,370,369,1,137,3,2,3,4
85001W85433YJHC,324,325,1,24,2,4,4,2
85001W8543MPZN1,171,172,2,87,3,1,3,4
85001W8543NC6A8,136,68,4,174,2,4,3,4
85001W8548QPDF8,203,102,4,424,3,2,4,4
85001W8549J1NHZ,372,187,2,44,2,1,3,2
85001W854CGAXTQ,2877,956,4,174,3,4,3,3
85001W854CUJN6A,348,87,4,424,4,4,4,1
85001W854DUGC18,98,25,1,299,3,1,2,3
85001W854EX7WRT,89,89,4,34,3,2,3,5
85001W854F45EVM,70,18,2,14,2,4,3,4
85001W854FEH83V,612,305,2,174,4,1,3,4
85001W854G8X8D4,418,208,1,112,3,1,3,4
85001W854H128VG,70,18,1,112,3,1,3,5
85001W854JU1PTK,133,44,2,34,4,4,2,4
85001W854MEAND1,193,98,3,34,3,4,2,3
85001W854MRPZ3A,366,122,2,34,1,4,3,3
85001W854NFK985,340,171,2,224,1,4,2,4
85001W854NMNYZV,818,411,2,44,1,4,3,3
85001W854SJF2DV,473,159,4,137,3,4,3,2
85001W854SXPWEE,432,143,3,87,3,4,3,3
85001W854TDG5H4,610,304,3,112,4,1,2,3
85001W854TSZ329,673,223,2,424,3,1,4,5
85001W854UHGH2C,475,239,3,24,2,4,4,5
85001W854UUV81A,277,139,3,87,2,4,3,3
85001W854V7T3VE,70,70,4,67,3,1,4,4
85001W854WAQV79,126,63,4,87,3,1,4,3
85001W854WBYM26,636,319,2,299,1,1,3,4
85001W854X35CGT,142,71,2,4,2,4,3,4
85001W854X399ZP,829,165,3,137,1,1,3,2
85001W854X4JVTQ,163,162,2,174,3,2,3,1
85001W854XFVGMP,70,18,2,24,2,4,3,2
85001W854XFVT12,156,78,3,67,3,2,4,3
85001W854XZHJU5,218,73,3,67,3,4,4,5
85001W854YWMCAF,165,83,1,224,2,1,3,3
85001W854Z4RDP4,151,39,4,174,2,4,3,3
85001W85515VPMF,902,453,4,299,1,4,3,5
85001W8551XDA5G,385,193,1,224,2,1,3,3
85001W855311GQ5,219,111,4,500,2,2,4,3
85001W8554X6J6C,378,76,1,54,1,4,3,1
85001W8555C5EH1,532,265,3,299,2,4,3,4
85001W85564F672,305,153,1,44,3,1,4,5
85001W8559R52S3,560,188,3,87,4,4,2,2
85001W855AK9YE9,295,296,2,24,4,1,4,2
85001W855AQUG1R,476,160,4,174,3,4,4,1
85001W855AXSYTJ,2110,1051,2,224,3,2,3,3
85001W855C83D23,684,227,4,224,1,1,4,1
